21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: COND_RAW (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: COND_ADC (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: MOTOR_1_A (PWM_POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: MOTOR_1_B (PWM_POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: FB_M1 (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: M1_IN1 (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: M1_IN2 (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: MOTOR_2_A (PWM_POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: MOTOR_2_B (PWM_POWER)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: FB_M2_RAW (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: FB_M2 (ANALOG_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: M2_IN1 (DIGITAL_SIGNAL)
21:51:29 | DEBUG   | eda.netlist            | Сеть зарегистрирована: M2_IN2 (DIGITAL_SIGNAL)
