15:45:34 | DEBUG   | eda.router             | [root] [VCC_12V] rss=121.4 net_wires=7 total_wires=7
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] pins=X_CAN:VCC_5V, X_PWR:VCC_5V, X_CAN:VCC_5V, X_PWR:VCC_5V
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] connect X_CAN:VCC_5V → X_PWR:VCC_5V
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] bfs Cell(col=175, row=24) → Cell(col=19, row=81)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] bfs done steps=57858 cells=214
15:45:34 | WARNING | eda.router             | [root] [VCC_5V] OCCUPY_OVERLAP cell=Cell(col=151, row=38) existing_net=VCC_12V new_net=VCC_5V existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=X_CAN:VCC_5V -> X_PWR:VCC_5V
15:45:34 | WARNING | eda.router             | [root] [VCC_5V] OCCUPY_OVERLAP cell=Cell(col=79, row=38) existing_net=VCC_12V new_net=VCC_5V existing_wire=X_OUT:VCC_12V -> T new_wire=X_CAN:VCC_5V -> X_PWR:VCC_5V
15:45:34 | WARNING | eda.router             | [root] [VCC_5V] OCCUPY_OVERLAP cell=Cell(col=21, row=79) existing_net=VCC_12V new_net=VCC_5V existing_wire=X_PWR:VCC_12V -> X_SEN_CABIN:VCC_12V new_wire=X_CAN:VCC_5V -> X_PWR:VCC_5V
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] stub_in page=(201.93,30.48) dir=right steps=1 tip=Cell(col=175, row=24) tip_page=(222.25,30.48)
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] route down ×14, left ×126, down ×19, left ×28, down ×24, left ×2
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] wire X_CAN:VCC_5V -> X_PWR:VCC_5V segments=6 cells=216
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_PWR] [VCC_5V] stub_out page=(3.81,102.87) dir=right steps=1 tip=Cell(col=19, row=81) tip_page=(24.13,102.87)
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_PWR] [VCC_5V] route down ×14, left ×126, down ×19, left ×28, down ×24, left ×2
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_PWR] [VCC_5V] wire X_CAN:VCC_5V -> X_PWR:VCC_5V segments=6 cells=216
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] ok segments=6
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] t_connect candidates=219 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] bfs Cell(col=176, row=24) → Cell(col=175, row=24)
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] bfs done steps=3 cells=2
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] t_junction target=Cell(col=175, row=24) try=1
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] stub_in page=(201.93,30.48) dir=right steps=2 tip=Cell(col=176, row=24) tip_page=(223.52,30.48)
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] route left ×1
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] wire X_CAN:VCC_5V -> T segments=1 cells=4
15:45:34 | INFO    | eda.router             | [root] [-] [X_CAN] [VCC_5V] t_junction recorded net=VCC_5V target=Cell(col=175, row=24) host=X_CAN:VCC_5V -> X_PWR:VCC_5V
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_CAN] [VCC_5V] ok t_junction=?
15:45:34 | INFO    | eda.router             | [root] [VCC_5V] [X_PWR] [VCC_5V] t_connect
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] [X_PWR] [VCC_5V] t_connect candidates=221 tries=5
15:45:34 | DEBUG   | eda.router             | [root] [VCC_5V] bfs Cell(col=22, row=81) → Cell(col=21, row=81)
